session,skipped_node_1,skipped_node_2,skipped_node_3,skipped_node_4,skipped_node_5,skipped_node_6,nodes_skipped,Trainee launched node/1,Trainee attempted node/1,Trainee skipped node/1,Trainee passed node/1,Trainee launched node/2,Trainee attempted node/2,Trainee skipped node/2,Trainee passed node/2,Trainee launched node/3,Trainee attempted node/3,Trainee skipped node/3,Trainee passed node/3,Trainee launched node/4,Trainee attempted node/4,Trainee skipped node/4,Trainee passed node/4,Trainee launched node/5,Trainee attempted node/5,Trainee skipped node/5,Trainee passed node/5,Trainee launched node/6,Trainee attempted node/6,Trainee skipped node/6,Trainee passed node/6,time_for_node_1,time_for_node_2,time_for_node_3,time_for_node_4,time_for_node_5,time_for_node_6,sequence_completed,skipped_corner_1,skipped_corner_2,skipped_corner_3,skipped_corner_4,time_for_corner_1,time_for_corner_2,time_for_corner_3,time_for_corner_4,score_corner_1,score_corner_2,score_corner_3,score_corner_4,overall_score,score_activity_01,score_activity_02,score_activity_03,score_activity_04,score_activity_05,score_activity_06,score_activity_07,score_activity_08,score_activity_09,score_activity_10,score_activity_11,score_activity_12,score_activity_13,score_activity_14,score_competence_10_02,score_competence_10_03,score_competence_10_04,score_competence_10_05,score_competence_10_08,score_competence_10_10
QXIHV,0,0,0,0,0,1,1,2019-04-04T09:46:13Z,2019-04-04T09:46:51Z,NA,2019-04-04T09:47:05Z,2019-04-04T09:47:05Z,2019-04-04T09:47:27Z,NA,2019-04-04T09:47:32Z,2019-04-04T09:47:33Z,2019-04-04T09:48:20Z,NA,2019-04-04T09:48:35Z,2019-04-04T09:48:35Z,2019-04-04T09:48:59Z,NA,2019-04-04T09:49:45Z,2019-04-04T09:49:45Z,2019-04-04T09:50:55Z,NA,2019-04-04T09:50:57Z,2019-04-04T09:50:58Z,2019-04-04T09:51:08Z,2019-04-04T09:51:09Z,NA,52.3389999866486,27.7919998168945,62.3070001602173,70.4749999046326,72.2030000686646,-Inf,FALSE,0,0,0,1,142.43799996376,70.4749999046326,72.2030000686646,NA,1,1,1,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAOAL,0,0,0,0,0,0,0,2019-04-03T12:05:01Z,2019-04-03T12:05:26Z,NA,2019-04-03T12:05:39Z,2019-04-03T12:05:39Z,2019-04-03T12:05:51Z,NA,2019-04-03T12:06:07Z,2019-04-03T12:06:07Z,2019-04-03T12:06:13Z,NA,2019-04-03T12:06:24Z,2019-04-03T12:06:25Z,2019-04-03T12:06:40Z,NA,2019-04-03T12:06:54Z,2019-04-03T12:06:54Z,2019-04-03T12:07:00Z,NA,2019-04-03T12:07:10Z,2019-04-03T12:07:10Z,2019-04-03T12:07:12Z,NA,2019-04-03T12:07:27Z,37.7890000343323,28.0409998893738,17.6970000267029,29.7400000095367,15.664999961853,16.5840001106262,TRUE,0,0,0,0,83.5269999504089,29.7400000095367,15.664999961853,16.58400011062622,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SJAVE,0,0,0,1,1,1,3,2019-04-02T13:39:39Z,2019-04-02T13:40:40Z,NA,2019-04-02T13:40:46Z,2019-04-02T13:40:46Z,2019-04-02T13:41:08Z,NA,2019-04-02T13:41:10Z,2019-04-02T13:41:10Z,2019-04-02T13:41:22Z,NA,2019-04-02T13:41:24Z,2019-04-02T13:41:25Z,2019-04-02T13:42:33Z,2019-04-02T13:42:34Z,NA,2019-04-02T13:42:34Z,2019-04-02T13:42:38Z,2019-04-02T13:42:44Z,NA,2019-04-02T13:42:44Z,2019-04-02T13:43:07Z,2019-04-02T13:43:10Z,NA,66.9270000457764,24.0060000419617,14.4670000076294,69.7890000343323,10.0199999809265,-Inf,FALSE,0,1,1,1,105.400000095367,69.7890000343323,10.0199999809265,NA,1,0.88,0.88,0.88,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.8,0.75,1,1,0,1
SWAAT,0,0,0,0,0,0,0,2019-04-04T12:35:32Z,2019-04-04T12:36:00Z,NA,2019-04-04T12:36:15Z,2019-04-04T12:36:15Z,2019-04-04T12:36:59Z,NA,2019-04-04T12:37:03Z,2019-04-04T12:37:04Z,2019-04-04T12:37:11Z,NA,2019-04-04T12:37:16Z,2019-04-04T12:37:16Z,2019-04-04T12:37:34Z,NA,2019-04-04T12:37:46Z,2019-04-04T12:37:46Z,2019-04-04T12:38:06Z,NA,2019-04-04T12:38:23Z,2019-04-04T12:38:23Z,2019-04-04T12:38:26Z,NA,2019-04-04T12:38:37Z,43.6490001678467,48.3429999351501,12.0179998874664,30.2840001583099,37.0859999656677,13.7549998760223,TRUE,0,0,0,0,104.009999990463,30.2840001583099,37.0859999656677,13.754999876022339,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SXYHE,0,1,0,1,1,1,4,2019-04-03T09:13:27Z,2019-04-03T09:14:08Z,NA,2019-04-03T09:15:28Z,2019-04-03T09:15:28Z,2019-04-03T09:16:11Z,2019-04-03T09:16:40Z,NA,2019-04-03T09:16:40Z,2019-04-03T09:17:02Z,NA,2019-04-03T09:17:07Z,2019-04-03T09:17:07Z,2019-04-03T09:17:39Z,2019-04-03T09:18:19Z,NA,2019-04-03T09:18:19Z,2019-04-03T09:18:49Z,2019-04-03T09:19:20Z,NA,2019-04-03T09:19:20Z,2019-04-03T09:19:26Z,2019-04-03T09:19:38Z,NA,120.516999959946,72.5320000648499,26.9219999313354,71.5769999027252,61.625,-Inf,FALSE,1,1,1,1,219.970999956131,71.5769999027252,61.625,NA,1,0.96,0.96,0.96,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
TECAQ,0,0,0,0,0,0,0,2019-04-02T10:09:27Z,2019-04-02T10:09:58Z,NA,2019-04-02T10:10:04Z,2019-04-02T10:10:04Z,2019-04-02T10:10:10Z,NA,2019-04-02T10:10:13Z,2019-04-02T10:10:14Z,2019-04-02T10:10:16Z,NA,2019-04-02T10:10:19Z,2019-04-02T10:10:20Z,2019-04-02T10:10:39Z,NA,2019-04-02T10:10:44Z,2019-04-02T10:10:44Z,2019-04-02T10:10:46Z,NA,2019-04-02T10:10:56Z,2019-04-02T10:10:57Z,2019-04-02T10:11:02Z,NA,2019-04-02T10:11:09Z,37.2360000610352,9.47399997711182,5.95599985122681,24.8310000896454,12.1819999217987,12.5260000228882,TRUE,0,0,0,0,52.6659998893738,24.8310000896454,12.1819999217987,12.526000022888184,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TYMWP,0,0,0,0,0,1,1,2019-04-03T11:10:15Z,2019-04-03T11:10:55Z,NA,2019-04-03T11:11:12Z,2019-04-03T11:11:12Z,2019-04-03T11:11:21Z,NA,2019-04-03T11:11:37Z,2019-04-03T11:11:38Z,2019-04-03T11:11:58Z,NA,2019-04-03T11:12:09Z,2019-04-03T11:12:09Z,2019-04-03T11:12:51Z,NA,2019-04-03T11:13:23Z,2019-04-03T11:13:23Z,2019-04-03T11:13:28Z,NA,2019-04-03T11:13:50Z,2019-04-03T11:13:51Z,2019-04-03T11:14:05Z,2019-04-03T11:14:07Z,NA,57.1240000724792,25.8599998950958,31.414999961853,73.625,27.8589999675751,-Inf,FALSE,0,0,0,1,114.398999929428,73.625,27.8589999675751,NA,1,1,1,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UIBYC,0,0,0,0,0,0,0,2019-04-04T14:48:42Z,2019-04-04T14:49:11Z,NA,2019-04-04T14:49:29Z,2019-04-04T14:49:29Z,2019-04-04T14:49:43Z,NA,2019-04-04T14:49:58Z,2019-04-04T14:49:58Z,2019-04-04T14:50:11Z,NA,2019-04-04T14:50:14Z,2019-04-04T14:50:14Z,2019-04-04T14:50:47Z,NA,2019-04-04T14:51:00Z,2019-04-04T14:51:00Z,2019-04-04T14:51:33Z,NA,2019-04-04T14:51:38Z,2019-04-04T14:51:38Z,2019-04-04T14:52:33Z,NA,2019-04-04T14:52:39Z,47.4230000972748,28.7550001144409,16.5249998569489,45.5650000572205,38.4400000572205,60.1569998264313,TRUE,0,0,0,0,92.7030000686646,45.5650000572205,38.4400000572205,60.156999826431274,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VAUCW,0,0,0,0,0,0,0,2019-04-03T13:21:07Z,2019-04-03T13:21:29Z,NA,2019-04-03T13:21:46Z,2019-04-03T13:21:46Z,2019-04-03T13:21:55Z,NA,2019-04-03T13:21:58Z,2019-04-03T13:21:59Z,2019-04-03T13:22:25Z,NA,2019-04-03T13:22:27Z,2019-04-03T13:22:28Z,2019-04-03T13:22:43Z,NA,2019-04-03T13:23:03Z,2019-04-03T13:23:03Z,2019-04-03T13:23:45Z,NA,2019-04-03T13:23:59Z,2019-04-03T13:24:00Z,2019-04-03T13:24:03Z,NA,2019-04-03T13:24:11Z,39.353000164032,12.6659998893738,29.2249999046326,34.9990000724792,56.805999994278,11.1400001049042,TRUE,0,0,0,0,81.2439999580383,34.9990000724792,56.805999994278,11.140000104904175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VBASS,0,0,0,0,0,0,0,2019-04-04T10:17:10Z,2019-04-04T10:17:44Z,NA,2019-04-04T10:18:12Z,2019-04-04T10:18:12Z,2019-04-04T10:18:40Z,NA,2019-04-04T10:18:58Z,2019-04-04T10:18:59Z,2019-04-04T10:19:11Z,NA,2019-04-04T10:19:16Z,2019-04-04T10:19:16Z,2019-04-04T10:19:41Z,NA,2019-04-04T10:19:54Z,2019-04-04T10:19:54Z,2019-04-04T10:19:56Z,NA,2019-04-04T10:20:10Z,2019-04-04T10:20:10Z,2019-04-04T10:20:12Z,NA,2019-04-04T10:20:32Z,62.2999999523163,46.1389999389648,17.25,37.970999956131,16.2740001678467,21.8079998493195,TRUE,0,0,0,0,125.688999891281,37.970999956131,16.2740001678467,21.807999849319458,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
